image,text
image31,i just wanna show you something comment what you think he's gonna show this goat fucker??
image32,a muslim in congress wants to get rid of homeland security let that sink in! 18 years after 9\/11 and this is where we are at?
image33,bert and ernie dress up as goats in an attempt to catfish arab men
image35,when people just talk about weed and forget your birthday (sad racist noises)
image38,gonna go outside #yolo anne frankly i thought she should have stayed home
image39,the look on his face when he discovers the blood from ahmed raping his virgin daughter
image40,hans ja? get him to auschwitz
image42,my thai girlfriend says a small penis shouldnt be a problem in a loving relationship but i still wish she didnt have one
image44,imagine if you will a group of people so disgusting... ...they have to make laws making it illegal to hate them
image45,"oh, he's using you for sex? stop bitching, sex is awesome. complain when he's using you for laundry ..or a human shield"
image46,siri take me home starting route to jail
image49,omg the middle east has ninjas too!!
image50,"religion of peace? before every one understands that slam is the i mean, how many more times they have to do this i can kind of understand why muslims get so frustrated"
image51,when fat white girls sit on the toilet
image53,how mexicans be like.. when they hear their friends kid is having a birthday party
image54,upper downer
image57,mississippi wind chime
image58,i've told my neighbor to keep thier pug out of my yard 3 times already
image59,something went... terribly wrong 1947 2017
image63,basic white girl in her natural habitat this is what i imagine heaven looks like womenwholovewine wineaisle target whitegirlwasted
image64,q: what's the difference between harry potter and jewish people? a: harry potter eventually escape the chamber
image68,when you let your ethiopian child sexslave swallow your cum i am a generous god
image70,opens ice cream shop only sells shakes
image73,i see a cat let's get it for lunch
image79,this is why no one likes black people
image80,radical muslims are snakes moderate muslims are the grass they hide in
image83,racing for pink slips in south africa
image84,so i bent him over like this and i made sure he felt the lord inside him
image89,it's a proven fact marines islamic radicals are less prone to violent acts after they've been shot in the head
image90,how i see kim burell everytime she grabs a mic!
image91,japanese fashion trends
image97,i'm not racist my drug dealer is black
image98,"what do you call a mexican midget? a paragraph, because he's too short to be an essay"
image102,crawling in mein skin these jews they will not heil!
image103,life has its ups and i have downs
image104,the floor is jews
image107,"average white \""women\"" average muslim women"
image112,my sister died in a car accident she died reading a text i sent to her hit a tree if you hate niggers this is the text hit a tree if you hate niggers
image113,when hoes backwash their drink
image115,when you find out a brown man talking to your sister
image117,this one time at camp   we got so baked
image118,when you're in heaven and you got your 72 virgins but allah lied about that one goat!
image119,"9\/11 gets a mourning day while gays get a \""pride\"" month because homosexuality is a bigger tragedy"
image120,"\""you wouldn't stop me if i was a polar bear.\"""
image121,broken dishwasher for sale or rent
image123,muslims when someone uses kilometres per hour instead of wifes per child sex slaves
image125,you're black. sorry no cure
image128,womens day gift packs
image129,"how many mexicans does it take to build a... oh wow, they're done"
image131,i only wear silk panties cotton ones remind me of slavery
image132,showing skin '' since you don't have anything else to offer ''
image134,remember when you needed to bang your tv to get it working? i tired that with my dishwasher and now she's pregnant
image135,are you bored? join spastics with special admin powers now
image137,"so, 100 americans and 300 russians walked into a mg 42"
image138,this is lynn. lynn got a watch for her birthday. just kidding. she hasn't opened her present yet
image139,for the many not the jew
image140,define nowfag i want it now!
image141,whats worse than raping a def girl? breaking her fingers after so she can't tell anyone
image145,what's the difference between jews and a loaf of bread? a loaf of bread doesn't burn in an oven
image146,cannibalism
image147,i said glass of juice not gas the jews
image148,stop making fun of our peaceful religion or we'll kill you
image149,nazi fitness camp before after body transformation within hours
image150,handjobs sold seperately
image151,it's mam  is it though?
image155,"lesbians when they spot a hot straight girl... \""call me tina cos i'm gonna turner\"""
image156,leave no dog behind ''
image157,i win again! parkinson's center
image158,dishwasher for sale missing parts
image159,when my autistic son finds out we're having chicken for dinner
image163,hello my lgbtq+ friends it's pride month so free shots for everyone!
image164,"dark humor is like hitler some people call it wrong, but i find it completely justified"
image166,sooo gorillas really are humans
image167,feel that? it used to belong to bruce jenner!
image168,blame other countries for having no culture rape women everyday
image169,life is like a bag of jelly beans nobody likes the black ones
image170,the whiteman is the devil!
image171,up to train & @peta team @ unhumanrights therapy dogs to console muslim rape victims
image175,it isn't islamophobia when they really are trying to kill you
image176,"men are such pigs, i hate them all why can't i ever get a date, i'm so lonely"
image177,when mohamed puts it inside
image178,faceswap ching chong 100
image179,four years for your bachelor's? i've worked 60 for my masters
image180,hide and go seek champion july 6 1942 - august 4 1944
image181,premier michel marrakesh
image182,"dont you care about my future? stop the \""refugee\"" invasion"
image187,"superman's flying class was popular, but no one ever passed"
image188,if they don't like it here they can leave!
image191,white people in chicago at 2am
image194,'' shoot them
image195,flowers for martin luther king day
image196,"\""muh dick\"" indicates a nigger's confusion and lack of understanding"
image197,"blacks are the only race to practice, \""love your enemies!\"" no other race practice's it more in the name of religion look at the condition of their people and look at the condition of blacks"
image198,i am not gay.. i am a man who turned into a woman after a bee sting and now i am attracted to men. rellly. trust me
image200,when you post a dishwasher meme and trigger the feminists.
image204,"as muslims, our quran orders us to immigrate to other countries, replace their governments with sharia law, orders the murder of christians, jews and all gay people, while embracing slavery and pedophilia. thanks democrats for making it so easy for us!"
image205,handjobs sold separately
image206,"oh boy i can't wait to go out and pray for allah on friday, march 15th 2019 12:30pm gmt at new zealand christchurch hello brother"
image207,"they struck our colors and raised their own if you are not pissed, then you are part of the problem!"
image208,i found jesus in prison i raped that mexican hard
image210,when you walk past the special ed classroom and see them gangbanging the teaher (jazz music stops)
image212,i want white people and aspirins out of this country why? because they are white and they work!!!
image215,*reacts in shea butter twitter*
image216,*playing an old piano i found* the other jews in the attic:
image217,whats the difference between boy scouts and jews? boy scouts come back from camp
image221,mohammed i'm pregnant...
image222,lucifer is hot! let's kill all non-catholics antichrist sun worship
image223,"when you realize that \""ginger\"" is just the n-word, rearranged"
image224,wnen you're walking home and come across a naked corpse i shouldn't
image225,japan soars to its highest temperature ever recorded: 106 degrees that's where you're wrong kiddo
image226,straight men's physiological stress response to see two men kissing is the same as seeing maggots
image228,how to get a black guy to see his baby
image230,the face that pro-lifers make when you talk about shooting immigrants
image231,"no i'm not going to kill the gays, make slavery legal, and take away women's rights i'm not a muslim"
image232,that face you make when you realize where all them free drugs came from
image233,i hate snow its white and on my land
image234,when you finger an arab girl
image236,no difference between both
image237,"my 6 year old son is in a wheelchair, so i made him a tank for halloween this year. special forces?"
image239,new zealand: dozens dead in mass shooting usa: -first time?
image240,islam is a religion of peace lets celebrate by killing infidels and beating women
image244,if your happy and you know it clap your hands.
image245,"lets erect a memorial to all the americans murdered by an illegal alien make it 1,500 miles long 30 feet tall and put it on the southern border"
image246,what do you call a nun in a wheelchair? virgin mobile
image247,you said islam is violent? i kill you!
image248,bruce jenner's cat
image251,remeber behind very great black man is the police
image252,photo of a survivor liberated from the auschwitz- birkenau camp 1945 (colored)
image253,how can this be allowed a free home and benefits? when this man was allowed to die on the streets after serving this country
image254,go be gay somewhere else
image255,if being racist means i don't want my country turned into a pile of rocks & goatshit ruled by a barbric cult then i'm a racist
image256,oh look my new dishwasher arrived
image261,me cis girls
image265,all men are dogs.. so which breed is your dad?
image266,"put'n the \""ham\"" in mohamed"
image272,when you and your homie load each other's dishwashers
image273,kick islam out of america you can't walk with god holding hands with the devil
image274,destruction 100 restoration 100
image277,there is no hindu terrorism in india. what if i say it isn't true? will shoot you dead
image280,gays on their way home after pride week
image282,israel israel is mak ko hijau mother of terrorism
image283,when you haven't stolen anything in a week
image284,"esther, you so ugly, i'm gonna take yo face and stamp out sum gorilla cookies"
image288,"hmmm... let's see, what kind of conspiracy theory can i get those white trash followers of mine to fall for next ?"
image289,"hey bro i'm not racist bro but ever noticed poo coloured women are loud, ugly, stupid, fat and act like primates? i haven't noticed that"
image290,"arrest white babies before they become land stealing, inbreeding, child molesting, dog raping, serial killing, racist white supremacist terrorist thugs"
image291,manditory vaccinations with no exemptions i do nazi the problem...
image296,i never get a straight answer for this ''
image297,jewish
image298,911 was personally difficult for me i lost 19 friends that day
image299,"*somethings bad happens* medieval europe: jews i swear, it was the guy with the long nose"
image301,therapy dogs are now being trained to console rape victims of muslims
image304,black people anything that doesn't belong to them
image305,are my sins forgiven now father ?
image309,real
image310,this flag represents white genocide
image313,black people are trying to wake up
image314,this nigar behind me ain't in compliance
image315,ashes to ashes  dust to dust the jews just left us
image316,they say there's safety in numbers tell that to 6 million jews
image317,a recent survey reported that 3\/4 of men don't know how to turn on the dishwasher  i find that licking her nipples and a light fingering usually does the trick!
image319,when a transgender takes a pregnancy test
image320,when eminem found out he couldn't be a juggalo !
image322,my favorite vegetable is me!
image323,i say woman of color because i want to be inclusive of all but white women
image326,when one of your neighbor's goats strays away from the herd now this looks like a job for me
image329,"jesus christ may have 2,000 people with 5 loaves of bread and 2 fish. but adolf hitler made 6 million jews toast"
image331,dad: we need to tell you something.. your mother and i are siblings alabama kids:
image332,when you go out to fight for independence but forgot to lock up the slaves
image333,"just because you have a beard, it doesn't mean you're a man. last time i checked vaginas can grow hair too"
image334,this steak is so black it stole my television
image335,"section 3: devide and rule ! in religion-based riots, crime will be trust upon hindus only. even though a hindu gets killed at the hands of the minorities, they will not be taken as guilty"
image336,know why gay guys never get messages from foreigners they'll get stoned
image338,i slipped and fell on black ice i thought it was regular ice but when i got up my wallet was gone
image343,when the school shooter finally leaves and the hottest girl in class is laying dead on the floor it's free real estate
image345,this is what happens when you're gay in a muslim country
image349,"it's a simple grammar question leeroy! \""what cames at the end of a sentence?\"" parole ?"
image350,"why isn't there a black guy in the clue board game? because then it would be called \""solved\"""
image352,when you suicide bomb an islamic mosque during a friday worship
image353,what do you call a black guy in a tree with a briefcase.. a branch manager
image354,rev up those gas chambers
image356,white people walked on all fours before black people came and showed them how to stand up
image358,my momma... momma says girls are the devil
image360,why isn't my drain working? probably cause the pipe's black
image363,"they should not be allowed to have kids you made your choice bitch, now live with it!"
image364,that face she makes when ahmed hits the g-spot
image365,"last year tyrone got a new job, started building his credit, and spending more time with his kids then something amazing started to happen!"
image367,all women should be believed until one of those bitches accuses a democrat
image370,"when your ex says \""you won't find a b*tch half the woman i am\"""
image371,a muslim ban would've stopped that
image372,i like pizza cause it doesn't scream when i put it in the oven
image374,goats can't talk why are so few muslim rapes reported?
image375,"45 goals of communism 26. present homosexuality, degeneracy and promiscuity as \""normal, natural, healthy.\"""
image376,islam is a cancer treat it with radiation
image378,he's making a list and checkin it twice gonna find out who gets deported by ice
image381,when your goat tells you she ain't on the pil
image383,"when i was in high school i got braces a friend told me, \""you're so black, even your teeth are behind bars,\"""
image384,"you pick cotton to get to it because it's white, it works, and why don't black people like aspirin?"
image389,"let me get this \""straight\"" muslims hate...- me- want to kill ..-me- so i gotta give up... my guns?"
image392,a good american is a dead american
image393,what you imagine when you're on a plane and you hear the person behind you say allahu akbar
image395,when you ask the jewsih girl for her number and she starts rolling up her sleeve
image397,where's jaws when you need him ?
image399,he went to jihad's
image400,amsterdam red light district isalamabad red light district
image402,men's shaving map transbender shaving map
image404,a typical white man
image405,"no one: white cops: he's black, so i'm assuming that he's evil"
image406,i said glass of juice not gas the jews
image409,you can kill muslims but you can't kill islam
image411,when the squad is about to get lit..
image412,muslims are idiots!!! muhammad was a pig that's the truth folks! allah is that pig's penis!!!
image413,understanding the difference nazism hollywood's inverted depiction of national socialism national socialism
image415,klu klux kar insurance we know it was dark and you just didn't see him
image416,wear a full burqa and nobody says anything change the cloth to white and everyone loses their mind
image417,girls are like jelly beans they're all good. except the black ones
image419,"shoot boy, i ain't racist i've got four black tires and a color tv"
image420,"mexicans hugging and kissing walls and fences, to show their love for border controls"
image423,i was chatting this liberal chick in a bar who told me that i should be more open to muslim culture so i raped her
image424,companies when pride month ends:
image425,they want this not beause they love you they need to mix breed to preserve their species
image426,literally me on social media *respect womens* me in irl *bang dishwashers* *respect womens*
image428,"ah, i think may have found the problem you appear to be a f*male"
image429,how do i like my eggs? same as i like my niggers beaten and separated from the whites
image433,"the city of seattle leaves poop on their sidewalks ...because hosing it off is \""racially insensitive\"""
image435,stevie wonder be like #selfie!
image437,what do they want? to kill more
image438,nobody: arabic talk show: good morning i hate women
image439,i'm not transphobic i just don't like 'em
image443,morgan freeman morgan not-so-freeman
image444,when you meet that gender studies student again my genders have doubled since the last time we met
image445,this would be racist if black people could read
image446,when each letter is a mental disorder
image447,worst pijama party ever
image448,"girls reaction when teacher says \""get out of class\"" boys reaction gorilla in a fuckin coupe reaction"
image449,chinese people be like happy thanksgiving
image450,he can be his new boy firend
image451,goofy fuckin black people
image452,why can't we spend money on education instead of drugs ''
image453,nice try women now go back to the kitchen
image454,the military finally captured the massive orangutan
image455,what kind of punch can take out 20 kids and 6 adults? a sandy hook
image457,"when you haven't stolen anything, used snap benefits or been loud at the movies for a few weeks"
image458,when you forget the bomb codes
image459,it can't be homicide if there is no race
image460,all i want for christmas is 6 million
image461,israel is not at war they don't fight soldiers they kill innocent men women and children from a distance
image462,"\""america has stolen the jews the jews of god his jewelry the negroes they are the true hebrews\"" google it"
image463,when the black kid is roasting the white kid and he has a gun in his backpack you think i would lose to a monkey
image464,when your chinese food shows up completely uncooked
image465,texas churches be like... pew pew pew
image467,"dad, dishwasher is loaded again '' ''"
image468,"dad why do we stink? so blind people can hate us too, son"
image469,remember behind every one of us is a police
image471,when each letter is a mental disorder
image477,"hi, i'm nate i'm a lesbian in recovery"
image478,i may be blind but at least i'm not black
image482,what women think they'll do when the economy collapses vs what they'll actually do
image483,i don't want to grow up to be abused as a muslim sex slave. please ban islam. #goatlivesmatter
image485,when your kid actually is transgender
image489,maybe if you worked a bit we wouldn't have inequality
image490,hey muslims eat me!
image492,"musslamic democrat, ilhan omar, has threatened members of congress. she's told several republicans that she'll send them \""shawarma\"", to \""give them a taste of her culture\"""
image500,when you step on landmine but you do not weigh enough
image501,when the kush so good you lose chromosomes
image502,maximum concentration
image504,i got fired from a restaurant for sticking my fingers in the dishwasher i'm wondering why they didn't fire her too
image506,jokes don't kill people they kill people '' ''
image507,how christians act in a religious discussion
image509,michelle obama without makeup
image510,ultimate terrorist lure position decoy and wait
image513,the wife said we needed a new coffee maker so i got one. her name is jill. the wife was not amused..
image515,healthcare for muslims
image517,and nothing of value was lost that day
image518,"whenever a white gay compares their struggle to that of a black woman well yes, but actually no"
image522,ramadan begins may 27. bombathon ends june 24
image523,"when the safe word is \""flower\"" but she kept saying \""flour\"""
image524,got a new slow cooker today
image525,when your chinese food shows up completely uncooked
image526,best thing about an ethiopian blowjob?... you know shes gonna swallow!!!
image528,"\""liberal whites are the greatest enemy of african americans.\"" -james meredith james merideth is a republican, an author, and most notably the first black student admitted to the university of missippi"
image529,arnold schwarzenigger
image530,muslim woman whines: i don't feel safe in us wearing a headscarf with trump as president then go back to your own country where they'll stone you to death for not wearing it
image531,"me giving nicknames to men who have wasted my time: we will call you, \""almost.\"""
image533,hitler at auschwitz be like: so we're just going to leave them for another minute or two until they get nice and smokey
image534,"look out, here comes the master race"
image536,how much did the holo cost
image537,"pedal faster patrick, the owners are coming"
image541,why do black people smell bad? so blind people can hate them too
image542,when he's muslim and asks you to role play
image543,im mixed with what? gorilla and rhino
image545,myth: gingers don't have souls fact: gingers earn a freckle for every soul they steal
image547,went to wal-mart picked up a brand new dishwasher!
image548,etch a sketch for my birthday worst present ever
image551,when you call that one dike bro by accident
image552,behind every goat is a happy muslim
image553,transwoman yelling at me about the meme i made me wondering what this dude's problem is
image554,beer goggles helping fat chicks get laid for thousands of years
image558,teacher : dont make any explosives inside the lab *le mohammed :
image560,"tresspass on federal land and we'll stalk, hunt, and kill you....... ...unless you are mexican"
image563,im really sorry that your not feeling well today but im still gonna need a sandwich
image564,when she's says she only dates black guys
image565,art school:*denies application* 6 million jews:
image571,i bet god is one of us because he didn't even raise his son
image572,"on ur way going to d church, u see someone beating ur mum like dis what would you do?"
image574,just trying to do my part
image576,muslims in 2001 muslim in congress 2019 defund homeland security
image577,my grandpas tractor never broke down
image578,but i wont do that will you let me come home i would do anything for love
image579,white children raped by muslims must 'shut their mouths for the good of diversity' says corbynite mp naz shah sack sicko labour mp naz shah
image580,when god sees people claiming that there are more than two genders isn't that my decision?
image581,i like my women like i like my subs 6 and 12
image583,every man needs a decent coffee maker
image585,when you don't abort the baby and it dies anyways
image586,"it's time to kill the british and dump tea into the ocean, and i'm all out of tea"
image587,me getting euthanized
image589,wax on whacks off
image590,do you know how to use an oven! or do i need to dig up hitler so he can show you!
image592,allah? pig fucker!
image593,"\""we asked 100 normal people what do you associate with islam?\"" terrorism 28 paedophilia 25 hate preaching 20 unwelcome invaders 10 excessive breeders 7 goat fuckers 5 i think the missing answer is peace? if it's there i'll give you money myself"
image595,when you try to catch a dark type pokemon
image599,i don't care what these liberal pro lgbt government officals say if i see a man follow any of the females in my family into the bathroom he'll crawl out looking like this
image600,looking for attention? join us
image601,leo varadkar stars in.... 'tranny without a fanny' coming soon in dail anal
image602,faceswap ching chong 100
image603,death to all muslims
image605,it's gettin hot in here so take off all ur clothes
image610,when i grow up... lol nevermind
image614,in this edition we don't buy property; we steal it!
image615,when your master refuse to feed you a watermelon after you pluck cotton from his field
image616,i told my gay friend that i can turn fruits in to vegetables and he told me to prove it so i pushed him off a balcony
image618,when you finally headshot 150 black people
image623,bruhh.. white ppl give me a headache
image624,911 three white kids in the park planning the next school shooting two can play that game
image625,patrick kenneth x scandal lebron james
image626,i'm not saying i'm fat i just have more chins than a asian phone book
image629,somehow we went from this to having american hating radical muslim anti-semites and socialists not only in congress but on the foreign intelligence committee. how the hell did this happen?!
image632,''dont cry because it's over smile because it happened'' -dr. seuss
image633,for the last time.. i'm not michelle obama
image634,guys i think my dog has autism lmao
image635,gays on social media: equality! body positivity! love love love! gays in real life: there is no place for her in our social circle
image638,"all kinds of people may worship odin except gays, jews, transgender, sex workers, arabs, asians, non whites, hispanics, and niggers"
image640,what's worse than ants in your pants? uncles
image642,look dad im doing it you did it tyrone! you stole your first bike
image645,oh look. this thread again
image646,mission: get out of bed status: close enough
image647,the difference between moderate muslim and radical muslim follow my allah or he kill you moderate muslim follow my allah or i kill you! radical muslim
image648,how to get a black guy to see his baby
image652,illegal aliens should be america's number 1 export
image654,when the air hostess gives you two extra slice of bread and a pack of milk but you still have to blow up the plane anyway musalman
image656,i'm a gnigger and you've been robbed
image659,i thought of something funnier than 9\/11 the holocaust
image660,when all your peaceful solutions fail you know what old problems require old solutions
image662,the perfect game doesn't exis......
image663,when they asks why you dropped the muslim kid off from school to give the parents back their bomb
image664,"benjamin mileikowski your homeland is poland it is not in palestine! did you know that more than half of israel population is comprised of people who are of \""polish and \""russian\"" descent ?"
image665,stop confusing illegal aliens with immigrants
image667,"jesus is love, and he welcomes all homosexuals into heav.. don't be decieved! homosexuals will not inherit the kingdom of god!"
image670,not all of us are terrorists but all terrorists are one of us
image671,you can be any gender you want if you are mentally ill
image673,chevy guys be like we just got done muddin' ford guys be like we just got done muddin
image676,non-binary genders are real there are more than 2 genders. no...just no!!!
image680,not my president not my residents
image681,"a german ss soldier punishing a small jewish boy by sticking a sharpened spear in the boys anus, auschwitz concentration camp, poland 1944. (colorized)"
image685,meanwhile in mexican schools
image686,this chick can't stand fishing
image687,i threw my new muslim neighbors a house-warming party the police called it arson...whatever
image689,your rights end where my feelings begin
image691,i like my niggers like i like my christmas ornaments hanging from my tree
image692,when your dick game is weak but your finger game is out of this world
image694,"beheaded, shot and stoned to death: 369 trans people killed this year you gotta pump those numbers up. those are rookie numbers"
image695,"\""you are allowed to drive?\"" no, i took a magic carpet ride here"
image698,don't settle for just any bargain brand white trash ask for tomi larhen by name now with 50% more maga
image699,i'm not an islamophobe i just can't stand the cunts
image700,made rice krispies way before kellogg's
image701,dishwasher: *not working* me: *hits it too get it too work* everyone else at my wife's funeral:
image702,we said we would never forget why are you voting them into our government?
image704,antique farm equipment
image705,immigrants wave our flag invaders wave their own
image710,child protective services takes away children from parents who don't vaccinate but they're perfectly fine with them
image713,"i don't see \""color\"" or \""race\"" because i make sure to surround myself only with white people"
image714,i got new shoes brother died from ebola
image716,when japan thinks you're gonna invade their mainland
image717,"women are like parking spots usually, the best ones are taken... so when no one is looking-stick it in the disabled one"
image718,the only people who truly love each other based on personality are asians because they all look the same
image719,life hack: your dishwasher can also wash your car
image721,immigrant problem problem fixed
image722,the difference between moderate muslim and radical muslim moderate muslim follow my allah or i kill you! radical muslim follow my allah or he kill you
